station,xCor,yCor
"구로React.createElement('br')디지털단지",428.56005859375,349.17529296875
"동대문React.createElement('br')역사문화React.createElement('br')공원",755.0908203125,643.30615234375
"기React.createElement('br')흥",924.7822265625,157.83056640625
병점,789.943359375,115.65966796875
수원,769.3935546875,144.07958984375
금정,669.52734375,172.58056640625
"오React.createElement('br')이React.createElement('br')도",408.59130859375,139.75439453125
온수,212.38720703125,378.60791015625
오금,1117.255859375,411.84326171875
회룡,810.103515625,1209.66455078125
도봉산,854.8466796875,1109.73193359375
노원,928.240234375,993.29248046875
불광,531.30908203125,822.13037109375
삼각지,656.26171875,533.14208984375
용산,612.05322265625,529.72802734375
이촌,659.3076171875,476.68798828125
충정로,620.00439453125,626.25537109375
시청,648.068359375,637.88134765625
서울역,664.4169921875,611.64990234375
충무로,708.0341796875,629.83837890625
종로3가,691.2724609375,684.01123046875
대곡,408.77490234375,962.51708984375
연신내,514.23779296875,856.87646484375
디지털미디어시티,457.44970703125,692.22412109375
공덕,595.90966796875,577.13427734375
강동,1133.2822265625,546.48876953125
천호,1107.8857421875,556.47216796875
가락시장,1093.359375,374.37939453125
성수,897.8935546875,579.43408203125
정자,1044.1064453125,156.65380859375
모란,1085.37109375,225.11474609375
복정,1087.0146484375,296.27099609375
수서,1039.2666015625,353.06787109375
도곡,901.7587890625,377.30615234375
양재,845.845703125,342.56591796875
옥수,795.6767578125,559.31884765625
약수,774.5107421875,621.58544921875
청구,781.7314453125,638.49951171875
신당,784.333984375,659.81201171875
동묘앞,784.333984375,680.35498046875
광운대,908.5263671875,862.39990234375
석계,921.9013671875,833.21630859375
태릉입구,966.203125,835.81396484375
창동,885.83984375,977.68212890625
동대문,758.2802734375,680.35498046875
신설동,803.66796875,692.96044921875
청량리,869.40625,705.37548828125
회기,897.8134765625,733.78369140625
망우,1015.82421875,770.07568359375
상봉,999.2861328125,764.76220703125
군자,983.4765625,629.79345703125
강남구청,865.171875,467.85498046875
신길,482.79931640625,467.26513671875
여의도,510.46337890625,491.81787109375
노량진,545.67724609375,450.66552734375
동작,662.7724609375,404.95849609375
고속터미널,717.3984375,433.23486328125
총신대입구(이수),689.5107421875,346.78271484375
을지로4가,723.7314453125,659.39697265625
을지로3가,702.4716796875,645.72607421875
잠실,1042.34375,454.87451171875
왕십리,843.318359375,645.72412109375
건대입구,952.8798828125,556.15478515625
선릉,882.4580078125,426.13037109375
강남,821.6708984375,400.95068359375
교대,775.1728515625,381.69091796875
사당,689.515625,325.80224609375
신도림,421.25439453125,443.45068359375
계양,74.47021484375,703.40771484375
원인재,201.79833984375,199.84326171875
부평,120.38916015625,390.11474609375
부평구청,90.12744140625,431.16064453125
김포공항,146.21142578125,635.08447265625
까치산,284.48291015625,531.43603515625
구로,377.44482421875,422.28955078125
금천구청,438.00341796875,240.00146484375
"가산React.createElement('br')디지털단지",396.75341796875,344.01123046875
대림,422.17431640625,368.88037109375
영등포구청,419.79443359375,508.72900390625
당산,445.36181640625,550.33544921875
합정,489.95166015625,594.56396484375
홍대입구,507.52880859375,614.64794921875
압구정로데오,857.2919921875,510.97802734375
석수,458.27685546875,188.62353515625
광명,412.70068359375,215.56201171875
서울숲,845.7763671875,570.13720703125
작전,77.08935546875,496.35302734375
신정네거리,258.78955078125,483.76416015625
일원,989.015625,348.98583984375
대청,975.7119140625,380.08740234375
양재시민의숲,863.3369140625,300.13037109375
신용산,637.40869140625,515.22998046875
경찰병원,1109.21875,390.14599609375
석촌,1051.3681640625,427.73095703125
미아,822.2763671875,880.00146484375
사릉,1081.931640625,935.35888671875
신답,876.93359375,675.49169921875
용답,892.49609375,640.67626953125
강변,1014.8984375,535.54638671875
잠실나루,1036.8447265625,482.56298828125
공릉,956.6796875,876.45654296875
수락산,908.75,1070.90771484375
마들,919.9599609375,1025.42724609375
중계,938.1650390625,951.55517578125
하계,947.052734375,915.50537109375
먹골,970.501953125,820.38427734375
중화,977.8798828125,790.43603515625
녹번,543.88427734375,785.39990234375
선정릉,872.193359375,450.65283203125
한티,895.3779296875,394.68701171875
남부터미널,786.8662109375,353.21337890625
화곡,266.07373046875,567.14990234375
우장산,254.92626953125,594.06689453125
발산,242.28662109375,624.58056640625
부평시장,112.08056640625,411.84814453125
동막,218.04931640625,155.15576171875
동춘,210.05712890625,174.44580078125
신연수,194.15087890625,212.84326171875
선학,186.23388671875,231.95849609375
문학경기장,178.31689453125,251.07275390625
인천터미널,170.40087890625,270.18701171875
예술회관,162.48486328125,289.30029296875
인천시청,154.56884765625,308.41552734375
간석오거리,146.65185546875,327.52978515625
부평삼거리,138.73583984375,346.64501953125
동수,132.34716796875,362.06494140625
갈산,88.73876953125,468.20751953125
간석,77.67236328125,406.69873046875
주안,71.05224609375,422.71923828125
도화,64.43798828125,438.73974609375
제물포,57.82470703125,454.76025390625
도원,51.20458984375,470.78076171875
동인천,44.59130859375,486.80224609375
인천,37.97802734375,502.82275390625
독산,417.83056640625,286.27587890625
부천종합운동장,198.88427734375,419.67724609375
까치울,205.32275390625,402.02001953125
당고개,980.427734375,1046.98291015625
녹천,879.3818359375,947.05810546875
월계,897.52734375,903.30126953125
금곡,1075.732421875,950.39111328125
평내호평,1069.3076171875,965.91162109375
천마산,1062.8759765625,981.43603515625
마석,1056.4423828125,996.96240234375
대성리,1050.0166015625,1012.48876953125
청평,1043.5849609375,1028.01416015625
상천,1037.1533203125,1043.53369140625
가평,1030.720703125,1059.05908203125
굴봉산,1024.2890625,1074.58544921875
백양리,1017.8564453125,1087.96337890625
강촌,1011.42578125,1105.63720703125
김유정,1004.994140625,1121.16259765625
남춘천,998.560546875,1136.68896484375
춘천,992.12890625,1152.21337890625
양원,1055.7041015625,776.35205078125
도심,1085.8662109375,704.32763671875
덕소,1079.5712890625,718.73193359375
양정,1073.6025390625,733.13720703125
도농,1067.634765625,747.54248046875
구리,1061.654296875,761.94580078125
장암,901.3544921875,1155.27685546875
화전,372.66259765625,817.95556640625
행신,391.95947265625,864.47705078125
능곡,410.02197265625,908.07861328125
곡산,435.44970703125,970.41455078125
마두,376.18310546875,948.47509765625
정발산,343.26611328125,946.13916015625
주엽,341.38623046875,927.90283203125
대화,333.68310546875,909.66455078125
수유,818.7841796875,921.51904296875
개화산,174.43017578125,680.26611328125
방화,183.74853515625,702.76806640625
명일,1176.802734375,596.39794921875
굽은다리,1168.2177734375,575.67529296875
방이,1112.0458984375,439.19287109375
올림픽공원,1124.677734375,469.96337890625
둔촌동,1141.3798828125,510.65966796875
길동,1156.341796875,547.00927734375
한강진,721.888671875,556.05322265625
암사,1122.7470703125,591.78857421875
강동구청,1093.11328125,520.23486328125
몽촌토성,1072.669921875,473.90869140625
버티고개,730.138671875,589.35302734375
고려대,818.65234375,746.29541015625
월곡,842.6083984375,789.89208984375
별내,1073.3525390625,903.99560546875
퇴계원,1079.5029296875,919.12744140625
갈매,1067.08984375,888.85888671875
중곡,992.455078125,650.27978515625
어린이대공원,965.2236328125,584.66845703125
